metric,dataset,Age,Sex,ChestPainType,RestingBP,Cholesterol,FastingBS,RestingECG,MaxHR,ExerciseAngina,Oldpeak,ST_Slope,HeartDisease
hd,ds_1000_uci_factorized,0.1311657494075773,0.47780664181630506,0.4534284611499194,0.16622056501162888,0.10674741397620575,0.5803500498091284,0.43078056458051384,0.06783943591452996,0.22450438363906217,0.7796930344525725,0.6757470503868525,0.06298623758991415
hd,ds_uci_factorized,0.1439206169129986,0.3934792858576921,0.456380273447401,0.15757774680281864,0.11080411543184611,0.6125958348665165,0.42695970734864513,0.06754848096527628,0.24555538554585243,0.8078666345896274,0.5946148946712501,0.1294096953757338
hd,gmm_1000_border_uci_factorized,0.10099373071437015,0.10688059789542084,0.2767371098742903,0.23001241630734678,0.03947394777783637,0.07147870362932107,0.4596581334356551,0.0797879675399693,0.01939865187567846,0.9114788566512412,0.05393613770617747,0.00476515738823067
hd,gmm_1000_uci_factorized,0.12732117078635685,0.08207131733608908,0.18647544895718915,0.27266026551519756,0.03211244754285314,0.011387900812992553,0.4198580996990293,0.07111834781692247,0.13674420744457114,0.6307693888224819,0.14690450717424824,0.18807003209162712
hd,gmm_1000_un_processed_uci,0.08353468657655078,0.10966191253415246,0.17550799078096488,0.21276285654909563,0.0833380829644209,0.03622451867423595,0.09214207755224421,0.06681235611531754,0.10498735929343911,0.6596196544058477,0.033062578567568876,0.20389391014700645
hd,gmm_border_uci_factorized,0.07556563340905616,0.061347411905281195,0.3003819002095336,0.25354087965748284,0.07593667299283446,0.10962857114481016,0.39076599351027375,0.044538109222261674,0.016733929018403055,0.7996663820066082,0.11090386395092089,0.01037474391466762
hd,gmm_uci_factorized,0.06280861349019383,0.12134550458668655,0.18425093968099782,0.19632180249108663,0.09797438365164367,0.05498005986425709,0.38557183418906105,0.07460532189814048,0.16866109768395549,0.6780294840839226,0.22459026335258628,0.24149944018502167
hd,gmm_un_processed_uci,0.09530508089621197,0.14336027150806407,0.2325714625389381,0.23472333421994732,0.030956707733609232,0.08295846497486123,0.10389538574132291,0.09402881861395998,0.21067202046900244,0.6558991529169441,0.021454935721733657,0.2132052254724156
hd,uci,0.030571701698566368,0.12572203951629185,0.1101529407826403,0.2791576207379951,0.024065427242401148,0.018394011485383423,0.0889428392383198,0.04215069903040158,0.1370120636395992,0.7694354228834722,0.1587572003791127,0.20615010108432727
kld,copula_1000_border_uci_factorized,0.18971921691719748,0.004946220646718097,0.018781208130720387,1.4301038292876918,16.563225990763428,0.00030539285524150417,0.017539993066173883,0.674912120937996,0.00977628394946102,33.62878044008584,0.03165484821504544,0.4025581411308155
kld,copula_1000_uci_factorized,0.18983433947017178,0.0065675839608602266,0.018481342852133334,1.6260866530733245,7.7738687761359735,0.0006816152181097455,0.05623994257720514,1.2079346204384904,0.026789974718839565,1.4987704353027937,0.03340309743037678,0.017466178492432705
kld,copula_1000_un_processed_uci,0.18983433947017178,0.0065675839608602266,0.018481342852133334,1.6260866530733245,7.7738687761359735,0.0006816152181097455,0.05623994257720514,1.2079346204384904,0.026789974718839565,1.4987704353027937,0.03340309743037678,0.017466178492432705
kld,copula_border_uci_factorized,0.20149628530419111,0.005911446196848476,0.026559408781074045,1.481470987491667,18.26157809137736,0.0007930564480745014,0.010974962358431638,1.2222828628384863,0.014771674211537758,33.62878044009084,0.03730417931326776,0.4207659976811255
kld,copula_uci_factorized,0.31038788913065,0.008730850754932004,0.023152023677376572,1.819882812657247,9.289077361357165,0.0017752247823151941,0.05352185173087833,1.4869812922014463,0.020582983073298755,1.6008518915813785,0.03136608965341421,0.013747819763232097
kld,copula_un_processed_uci,0.31038788913065,0.008730850754932004,0.023152023677376572,1.819882812657247,9.289077361357165,0.0017752247823151941,0.05352185173087833,1.4869812922014463,0.020582983073298755,1.6008518915813785,0.03136608965341421,0.013747819763232097
kld,ctgan_1000_border_uci_factorized,0.32308456984188816,7.414682031285733e-05,0.0014683159575950878,3.4296797474620564,3.458525019111625,0.12584427543994806,0.0052273187340292765,0.7476675109447866,6.148602491060431e-05,33.62878044008584,0.0014488203185774578,0.004287825752919486
kld,ctgan_1000_uci_factorized,0.2067335153445556,0.002675879756120922,0.0032049729789460236,1.4221986696217457,2.7419162091788216,0.1057403430873472,0.012559111692343514,1.341497948451552,0.00863211115442785,1.1815865944238484,0.011816809067423453,0.05182762707312785
kld,ctgan_1000_un_processed_uci,0.1244764641927433,0.0010756978170111953,0.004955887230697266,1.232653037223359,1.740634005854353,0.0377771130447898,0.003830291202296894,1.0423529016421864,0.00624077104744012,1.4447871824414225,0.013235297668763985,0.050650929747040746
kld,ctgan_border_uci_factorized,0.5163219937677359,8.731435019793728e-06,0.002896370883001362,1.644056399576569,5.633345884832438,0.07476086821489189,0.0007529200535792636,0.7449501856292063,0.006341363079624768,33.62878044009094,0.004878881812246133,0.0033059526912707013
kld,ctgan_uci_factorized,0.12906608773077352,5.397103911116471e-05,0.012010442794521556,1.4856544051737122,4.136495101584177,0.011062924864587854,0.00590493351178565,0.6668144141388694,0.006341363079624768,1.4003019299621267,0.048302121325570706,0.13836730529870042
kld,ctgan_un_processed_uci,0.23070071299613706,0.0007957158158460147,0.0171746273017854,1.551765499911159,4.576967215139732,0.05050901768044229,0.0041125261317559,1.0154017610451702,0.001557097886498892,1.1983808326077645,0.025346378133262105,0.060610921875476315
kld,ds_1000_uci_factorized,0.35478873448492254,0.08735964869436913,0.22784786094071696,2.1539527651704455,5.943292037116229,0.12806453190437891,0.14879637341565832,0.8347528384536173,0.019935779010912674,33.62878044008585,0.30213335385183815,0.0015885014164130212
kld,ds_uci_factorized,0.37007159691571423,0.059384276624040444,0.23887186383031456,2.69042850892263,14.41115388633462,0.14274402181962365,0.14592590827224539,1.3550184279743578,0.023843493366436028,33.62878044009084,0.23407597683410036,0.006721312762984107
kld,gmm_1000_border_uci_factorized,0.3157661006313261,0.0046690353551519514,0.08834784649595913,1.5391193239699525,1.7080350786855187,0.002074423647917923,0.1675011211541308,1.1272780506581404,0.00015078191139454057,33.62878044008584,0.002240844608892711,9.083001514590544e-06
